item-id,product_name,department_name,price,stock_quantity,product_sales
1,Hooded Warm Coat Fauz Fur,Ropa,55,3,200
2,Cat Crossbody Purse,Bolsas,34,5,150
3,Steve Madden Ankle Boots Leopard Print,Calzado,97,4,500
4,Luna Norte Courage & Inner Peace Necklace,Accesorios,26,15,150
5,Canon EF-S 17-55mm f/2.8 ,Electronica,829,4,2000
6,Mid-Century Corner Sofa,Muebles,470,2,1500
7,Nintendo Switch Super Smash Bros Ultimate Edition,Videojuegos,510,6,4000
8,Winter Christmas Dress Mini Sweatshirt,Ropa,15,5,300
9,3D Moon Lamp Led Light Touch,Hogar,25,3,150
10,DJI Mavic 2 Pro Drone Kit,Electronica,1879.99,1,5000
11,Green Mermaid Yoga Leggings,Active Wear,15,10,300
